timestamp,transaction_count,total_amount,average_amount,anomaly_count,rolling_avg_count,rolling_std_count,upper_bound,time_series_anomaly,count_z_score
2026-09-18 00:00:00,28,5972.78,213.3135714285714,0,28.0,0.0,28.0,0,0.0
2026-09-18 01:00:00,27,12900.98,477.8140740740741,1,27.5,0.7071067811865476,29.621320343559642,0,-0.7071067811865475
2026-09-18 02:00:00,0,0.0,0.0,0,18.333333333333332,15.885003409925142,65.98834356310876,0,-1.1541283851332662
2026-09-18 03:00:00,27,9679.37,358.4951851851852,2,20.5,13.674794331177344,61.52438299353203,0,0.4753270756826349
2026-09-18 04:00:00,27,8217.17,304.33962962962966,1,21.8,12.19426094521517,58.382782835645514,0,0.4264301070283718
2026-09-18 05:00:00,0,0.0,0.0,0,18.166666666666668,14.07716827585245,60.398171494224016,0,-1.2905057544725966
2026-09-18 06:00:00,27,10176.78,376.9177777777778,2,19.428571428571427,13.277263057035295,59.26036059967731,0,0.5702552204399278
2026-09-18 07:00:00,0,0.0,0.0,0,17.0,14.08139603468755,59.24418810406265,0,-1.2072666629162958
2026-09-18 08:00:00,27,10902.31,403.78925925925927,2,18.11111111111111,13.587167148125879,58.87261255548874,0,0.6542120805597774
2026-09-18 09:00:00,27,7222.13,267.4862962962963,0,19.0,13.114877048604,58.344631145812,0,0.6099942813304187
2026-09-18 10:00:00,0,0.0,0.0,0,17.272727272727273,13.697378647689558,58.36486321579594,0,-1.2610242964730187
2026-09-18 11:00:00,27,7462.83,276.4011111111111,0,18.083333333333332,13.358404459252224,58.15854671109,0,0.6674948863740127
2026-09-18 12:00:00,27,8605.56,318.72444444444443,1,18.76923076923077,13.026600005078366,57.84903078446587,0,0.6318432459398844
2026-09-18 13:00:00,0,0.0,0.0,0,17.428571428571427,13.483404533062034,57.87878502775753,0,-1.2925942691874024
2026-09-18 14:00:00,27,6269.89,232.21814814814817,0,18.066666666666666,13.225876512496612,57.7442962041565,0,0.675443576453521
2026-09-18 15:00:00,0,0.0,0.0,0,16.9375,13.552213841288072,57.59414152386422,0,-1.2497958044609907
2026-09-18 16:00:00,27,8362.96,309.7392592592592,0,17.529411764705884,13.346898736498787,57.570107974202244,0,0.7095721951793634
2026-09-18 17:00:00,27,6762.46,250.46148148148148,1,18.055555555555557,13.139398420387183,57.47375081671711,0,0.6807347001949633
2026-09-18 18:00:00,0,0.0,0.0,0,17.105263157894736,13.42425142478304,57.378017432243865,0,-1.274206107784605
2026-09-18 19:00:00,27,6086.74,225.4348148148148,1,17.6,13.252209349070023,57.35662804721007,0,0.7093156886070205
2026-09-18 20:00:00,0,0.0,0.0,0,16.761904761904763,13.475551053314152,57.18855792184722,0,-1.2438752742346941
2026-09-18 21:00:00,27,8587.05,318.03888888888883,2,17.227272727272727,13.330708616116105,57.21939857562104,0,0.7330988587442813
2026-09-18 22:00:00,27,7603.71,281.6188888888889,0,17.652173913043477,13.182663186763596,57.200163473334264,0,0.7090999712669939
